Projectname,Task name,Priority,Assigned To,Startdate,Enddate,Status
Accsys Consulting,Leave and Attendance tracker,High,Poornima,"Dec. 22, 2024","Dec. 22, 2024",Completed
SECUREW2,Leave application,Medium,Poornima,"Dec. 17, 2024","Dec. 17, 2024",Completed
AISERA,Employee queries,Medium,Poornima,"Dec. 17, 2024","Dec. 17, 2024",Completed
SECUREW2,Leave application,Medium,Poornima,"Dec. 17, 2024","Dec. 17, 2024",Completed
SECUREW2,Login ID permission,Medium,Poornima,"Dec. 17, 2024","Dec. 17, 2024",Completed
FOODSWING,New report configuration,Medium,Poornima,"Dec. 17, 2024","Dec. 17, 2024",Completed
DHARSHAN,DSC procedure,Medium,Poornima,"Dec. 17, 2024","Dec. 17, 2024",Completed
SECUREW2,Ticket regarding the Holiday List,Medium,Poornima,"Dec. 17, 2024","Dec. 17, 2024",Completed
Accsys Consulting,Greythr payment email,Medium,Poornima,"Dec. 16, 2024","Dec. 16, 2024",Completed
AISERA,Payroll inputs,Medium,Poornima,"Dec. 16, 2024","Dec. 16, 2024",Completed
Accsys Consulting,Task Management - Areas of Improvement,High,Poornima,"Dec. 14, 2024","Dec. 14, 2024",Completed
Sarve Sai,FFS guidance - Meeting,High,Poornima,"Dec. 13, 2024","Dec. 13, 2024",Completed
SECUREW2,Employee onboarding,Medium,Poornima,"Dec. 12, 2024","Dec. 12, 2024",Completed
Accsys Consulting,ESI registration,Medium,Poornima,"Dec. 12, 2024","Dec. 12, 2024",Completed
Accsys Consulting,Employee Onboarding - Greythr,Medium,Poornima,"Dec. 12, 2024","Dec. 12, 2024",Completed
Accsys Consulting,ESI filling,Medium,Poornima,"Dec. 12, 2024","Dec. 12, 2024",Completed
Accsys Consulting,PF filling,High,Poornima,"Dec. 11, 2024","Dec. 11, 2024",Completed
Datasolve,PF query - Discussion,Medium,Poornima,"Dec. 11, 2024","Dec. 12, 2024",Completed
Accsys Consulting,Pay slips,Medium,Poornima,"Dec. 11, 2024","Dec. 11, 2024",Completed
FOODSWING,Discussion related Workflow and Attendance,High,Poornima,"Dec. 11, 2024","Dec. 14, 2024",Completed
AISERA,Tax queries,Medium,Poornima,"Dec. 9, 2024","Dec. 9, 2024",Completed
AISERA,Employee queries - Sodexo,Medium,Poornima,"Dec. 9, 2024","Dec. 10, 2024",Completed
Accsys Consulting,Payroll - Monthly,High,Poornima,"Dec. 9, 2024","Dec. 10, 2024",Completed
BLISS,Follow-up mail on Payroll Implementation,High,Poornima,"Dec. 9, 2024","Dec. 11, 2024",Completed
ispeed,PF filling,Medium,Poornima,"Dec. 9, 2024","Dec. 11, 2024",Completed
Datasolve,ESI filling,Medium,Poornima,"Dec. 9, 2024","Dec. 9, 2024",Completed
Datasolve,PF filling,Medium,Poornima,"Dec. 9, 2024","Dec. 9, 2024",Completed
Datasolve,MIS reports,Medium,Poornima,"Dec. 9, 2024","Dec. 9, 2024",Completed
Datasolve,Payslips,Medium,Poornima,"Dec. 9, 2024","Dec. 9, 2024",Completed
